,,State,Statute,Category / Model,Requirement (summary),Provision (summary),Text Excerpt,,,,,,,,
,8,Delaware,15 Del. C. § 2050A,Registration opportunity in schools,,Department of Elections coordinates registration opportunities in high schools.,“The Department shall establish procedures to provide voter registration opportunities in each public high school in the State.”,,,,,Delaware,15 Del. C. § 2050A,School registration opportunity,Department of Elections must provide voter-registration opportunities in public high schools.
4,9,Florida,Fla. Admin. Code Ann. R. 1S-2.033,HSVR program requirement,"Education and Training:
County supervisor must conduct high school voter registration / education program in each high school",County supervisor must conduct high school voter registration / education program in each high school,"(3) Voter Registration/Education and Training Programs. 
A county supervisor of elections shall:
(a) Conduct at least once a year a high school voter registration/education program in each public high school in the county. The program must be developed in cooperation with the local school board and be designed for maximum effectiveness in reaching and educating high school students who are eligible to pre-register or register.",,,,,,,,
5,10,Georgia,O.C.G.A. § 20-2-310(b),Civic information requirement,"Education: 
Each public school student shall be apprised of his or her right to register as an elector and to vote in elections 

Special Days:
Each eligible student shall be given an opportunity, arranged by the school administration, to register to vote at his or her school during the month of April of each year. ",Schools provide students information on civic responsibilities including voter registration.,"(b) Each eligible student in the public schools of this state shall be apprised of his or her right to register as an elector and to vote in elections and of any obligation to register with the Selective Service System. Each eligible student shall be given an opportunity, arranged by the school administration, to register to vote at his or her school during the month of April of each year. The State Board of Education shall promulgate rules and regulations to carry out this Code section. An excused absence of a student to register or vote, at the discretion of the local unit of administration, shall not exceed one school day.",,,,,Georgia,O.C.G.A. § 20-2-310,Civic information / forms,Schools provide students information about voter registration and civic responsibilities.
,11,Hawaii,No school-specific statute identified in current review,,,,,,,,,,,,
,12,Idaho,No school-specific statute identified in current review,,,,,,,,,,,,
6,13,Illinois,10 ILCS 5/1A-60,"Distribution of materials
Access for drives","Form Distribution:
Schools must distribute voter registration materials to high schools",Schools must distribute voter registration materials to high schools and may not prohibit nonpartisan voter-registration activity on campus.,"(a) The State Board of Elections shall prepare a one page document explaining the process to register to vote to be disseminated to high school age students. Every high school must provide students with that document, which may be disseminated electronically.
(b) No high school may prohibit nonpartisan voter registration activities on its premises. A high school may adopt reasonable regulations restricting nonpartisan voter registration activities.",,,,,Illinois,10 ILCS 5/1A-65,Access requirement,High schools may not prohibit nonpartisan voter-registration activity on campus.
,14,Indiana,Ind. Code § 3-7-31-5,Distribution to students,,Schools provide voter-registration applications to students who will soon be eligible to vote.,“Each high school shall provide a voter registration application to each student who will be at least eighteen (18) years of age before the next general election.”,chat was wrong. the section does not have this langauge. and the language was from a bill that did not pass,,,,Indiana,IC § 3-7-31-5,Forms distributed to students,High schools provide voter-registration applications to students who will be eligible to vote.
7,15,Iowa,Iowa Code § 48A.23,School registration drives,"Opportunity to register:
At least twice during each school year, public and private high schools shall offer the opportunity to register to vote to students who are at least 17 years old.",Schools must offer students voter-registration opportunities.,"Registration at educational institutions. 1. At least twice during each school year, the board of directors of each school district operating a high school and the authorities in charge of each accredited nonpublic school shall offer the opportunity to register to vote to each student who is at least seventeen years of age. 2. All postsecondary schools, including but not limited to colleges, universities, and trade and technical schools which receive state funding, shall offer the opportunity to register to vote to each student at least once each year. Students shall be provided with the federal voter registration form or the Iowa voter registration form, as applicable.",,,,,Iowa,"Iowa Code §§ 48A.23, 280.9A",Mandatory school registration drives,Schools must offer voter-registration opportunities at least twice per school year.
7,15,Iowa,Iowa Code § 280.9A.1. & 4.,Civic instruction + registration,"Education:
Public and private high schools shall require, as a condition of graduation, that high school students receive instruction in voting statutes and procedures, voter registration requirements, the use of paper ballots and voting systems in the election process, and the method of acquiring and casting an absentee ballot.",Civics curriculum includes voter registration instruction and drives.,"1. The board of directors of each local public school district and the authorities in charge of each nonpublic school shall require that all students in grades nine through twelve complete, as a condition of graduation, instruction in American history and the governments of Iowa and the United States, including instruction in voting statutes and procedures, voter registration requirements, the use of paper ballots and voting systems in the election process, and the method of acquiring and casting an absentee ballot.
4. At least twice during each school year, the board of directors of each local public school district operating a high school and the authorities in charge of each accredited nonpublic school operating a high school shall offer the opportunity to register to vote to each student who is at least seventeen years of age, as required by section 48A.23.
88 Acts, ch 1129, §1; 90 Acts, ch 1238, §38; 94 Acts, ch 1169, §57; 2008 ",,,,,,,,
8,16,Kansas,K.S.A. § 25-2303(c),Designation of school personnel,permissive; don't include,Authority to designate school officials as deputy registrars,"(c) Deputy county election officers shall maintain records and perform duties under the provisions of this act only in the manner prescribed by the county election officer. County election officers may appoint such deputy county election officers as deemed appropriate, including, but not limited to, the city clerk of any city, personnel in any public high school, any public library or public institution of higher education, in addition to those required to be appointed under the provisions of subsection (b).",,,,,Kansas,KSA § 25-2307,Forms available,County election officers supply registration forms to high schools.
9,17,Kentucky,Ky. Rev. Stat. § 116.046,Forms + designated staff + annual program,"Form distribution and assistance:
The county clerk shall provide voter registration forms annually to each public and private high school. Each school shall have a designated person who shall be responsible for informing students of the availability of the registration forms and assisting them in registering. ",Clerk required to distribute voter registration forms to high schools. Schools required to designate a staff member responsible for informing students about voter-registration forms. State board of education required to implement annual program,"(1) The county clerk shall provide voter registration forms annually to each principal or assistant principal of every public high school, each area technology center, and private schools, and each school shall have a designated person who shall be responsible for informing students and school personnel of the availability of the registration forms and assist them in properly registering. The completed forms shall be returned to the county clerk, for official registration by the county clerk. (2) Any person designated to assist in registration in subsection (1) of this section shall fulfill this responsibility in an impartial and fair manner and shall not recruit a registrant for any particular party. (3) The State Board of Education shall implement annual programs of public education regarding elections, voting procedures, and election fraud, which shall include an audio-visual presentation for high school juniors and seniors. The State Board of Education, after consultation with the State Board of Elections, shall update the public education programs required by this section as relevant statutory changes occur, as different types of voting systems are used, or as more effective methods of presentation shall be developed.",,,,,Kentucky,KRS § 116.046,Forms + school contact,County clerks supply forms; schools designate staff responsible for informing students.
10,18,Louisiana,La. Rev. Stat. § 17:2121,Registration opportunity,"Opportunity to register:
Public schools shall provide an opportunity for each high school senior who is at least seventeen years old to register to vote by using a school computer to fill out an electronic voter registration application or by using the state mail voter registration application form.
",Schools must allow eligible seniors to register to vote.,"A. Each public school governing authority shall provide an opportunity for each high school senior who is at least seventeen years old to register to vote by using a school computer to fill out an electronic voter registration application or by using the state mail voter registration application form.
B. No public school governing authority shall allow the involvement of any political or partisan group or organization in the registration process.
C. Each public school governing authority shall adopt policies for the implementation of this Section and shall review the policies, at minimum, every five years for the purpose of considering any needed revisions or updates.
D. Each public school governing authority may follow guidance provided by the secretary of state in implementing the provisions of this Section.",,,,,Louisiana,La. Rev. Stat. § 17:2121,Registration opportunity,Schools must give eligible seniors the opportunity to register to vote.
10,18,Louisiana,La. Rev. Stat. § 17:2121.1,Designated day,"Special Days:
The first Tuesday after the first Monday in May annually shall be known as Louisiana High School Seniors Voter Registration Day.",Louisiana High School Senior Voter Registration Day,"A. The first Tuesday after the first Monday in May annually shall be known as Louisiana High School Seniors Voter Registration Day.
B. Nothing in this Section shall be construed to create any duty or obligation for the secretary of state or any registrar of voters.",,,,,,,,
10,18,Louisiana,"La. Admin. Code tit. 31, § II-503.A.2",Designated voter registration agency,"Voter Registration Agencies
Public high schools are designated as voter registration agencies.",Public high schools designated as voter registration agencies,"A. The following offices are hereby designated as voter registration agencies:
... 2. all public high schools",,,,,,,,
11,19,Maine,"Me. Rev. Stat. tit. 21-A, § 181(1)(B)(3)",Voter-registration agencies,"Voter Registration Agencies
Public high schools are designated as voter registration agencies.",Public high schools are designated voter registration agencies under the NVRA,"The designated voter registration agencies pursuant to NVRA include, but are not limited to:  B.(3): The public high schools;  ",,,,,,,,
,20,Maryland,Md. Election Law § 3-203,Forms provided in schools,,Election boards supply voter-registration applications to high schools.,chat was wrong,,,,,Maryland,Election Law § 3-203,Forms provided to schools,Local election boards provide voter-registration applications to high schools.
12,21,Massachusetts,Mass. Gen. Laws ch. 51 § 42C,School registration sessions,,Election officials may hold annual voter-registration sessions in high schools.,"In any city or town which accepts the provisions of this section, voter education and voluntary registration sessions shall be held by the registrars, assistant registrars or election commissioners one day each year between the first day of April and the fifteenth day of May in each public, private and vocational high school in their cities and towns. Said sessions shall take place as part of an educational assembly for all seniors.
A registrar or assistant registrar at a session held pursuant to the provisions of this section may receive affidavits of registration from registrants who reside in any other city or town of the commonwealth. The registrars shall forthwith transmit any such completed affidavits of registration to the registrars of the city or town where the registrant claims to reside, and said registrars shall receive such affidavits as provided in sections forty-six to forty-seven B, inclusive.
This section shall take effect upon its acceptance by any city or town.",,,,,Massachusetts,"M.G.L. ch. 51 §§ 42C, 42E",Registration sessions + forms,High schools host registration assemblies and make registration forms available.
12,21,Massachusetts,Mass. Gen. Laws ch. 51 § 42E,Forms available,,High schools must make voter-registration affidavit forms available to students.,"All public and independent colleges, universities, high schools and vocational schools shall make available affidavit of voter registration forms at all locations where students may register for classes. Such locations shall be published along with the annual course listing for students or in some other schoolwide publication. Every such school shall publicize the availability of such voter registration affidavit forms within the school.",,,,,,,,
12,21,Massachusetts,"Mass. Gen. Laws ch. 51, § 26A",State high school voter challenge program,,The state secretary must establish a non-partisan high school voter challenge program and promulgate regulations for participating high schools.,"(a) The state secretary, in consultation with the commissioner of elementary and secondary education and the board of elementary and secondary education, shall establish a non-partisan high school voter challenge program and shall promulgate regulations to implement the program in participating high schools in the commonwealth; provided, however, that the regulations shall identify registration time periods that allow eligible students to participate in all municipal and state elections, including primary elections.
(b) Superintendents of schools shall ensure that each voter challenge program implemented in their districts provide opportunities for outreach and for all eligible students to register or pre-register to vote on any participating high school campus. An enrolled high school student may apply to serve as a voter outreach coordinator or be selected to serve as a voter outreach coordinator by a peer nomination process.",,,,,,,,
,22,Michigan,Mich. Comp. Laws § 168.497,Forms available in schools,,School districts must make voter registration applications available to students who are eligible to vote.,,,,,,,,,
,22,Michigan,No school-specific statute identified in current review,,,,,,,,,,,,
13,23,Minnesota,Minn. Stat. § 201.1611(b) & (c),Forms distributed twice yearly,"Form Distribution:
Schools must make voter-registration applications available each May and September and may request forms from the Secretary of State",Schools must make voter-registration applications available each May and September and may request forms from the Secretary of State and must inform students that registering to vote is not a graduation requirement,"(b) All school districts must make available paper or electronic voter registration applications each May and September to all students registered as students of the school district who are eligible to register or preregister to vote. A school district has no obligation to provide voter registration applications to students who participate in a postsecondary education option program or who otherwise maintain residence in the district but do not attend a school operated by the district. A school district fulfills its obligation to a student under this section if it provides a voter registration application to the student one time.
(c) The voter registration forms must contain spaces for the information required in section 201.071, subdivision 1, and applicable rules of the secretary of state. The institutions and school districts may request these forms from the secretary of state. Institutions must consult with their campus student government in determining the most effective means of distributing the forms and in seeking to facilitate election day registration of students under section 201.061, subdivision 3. School districts must advise students that completion of the voter registration application is not a school district requirement.",,,,,Minnesota,Minn. Stat. § 201.1611,Forms distributed twice yearly,Schools must make registration applications available in May and September.
,24,Mississippi,No school-specific statute identified in current review,,,,"(c) The voter registration forms must contain spaces for the information required in section 201.071, subdivision 1, and applicable rules of the secretary of state. The institutions and school districts may request these forms from the secretary of state. Institutions must consult with their campus student government in determining the most effective means of distributing the forms and in seeking to facilitate election day registration of students under section 201.061, subdivision 3. School districts must advise students that completion of the voter registration application is not a school district requirement.",,,,,,,,
,25,Missouri,No school-specific statute identified in current review,,,,,,,,,,,,
,26,Montana,No school-specific statute identified in current review,,,,,,,,,,,,
,27,Nebraska,No school-specific statute identified in current review,,,,,,,,,,,,
,28,Nevada,No school-specific statute identified in current review,,,,,,,,,,,,
,29,New Hampshire,No school-specific statute identified in current review,,,,,,,,,,,,
