,,State,Statute,Category / Model,Requirement (summary),Provision (summary),Text Excerpt,,,,,,,,
14,30,New Jersey,N.J. Stat. § 18A:36-27,Distribution before graduation,,Schools provide voter-registration forms and civic-participation information to seniors.,"The board of education of each school district and the appropriate school officials in each nonpublic school shall provide a voter registration form, a summary of voter registration eligibility requirements, and material describing the role of a citizen and the importance of voting to each eligible high school pupil prior to the graduation date for the school year. This material shall be nonpartisan and conform to the provisions of N.J.S.18A:42-4.",,,,,New Jersey,N.J. Stat. § 18A:36-27,Distribution before graduation,Schools provide voter-registration forms and civic-participation materials to students.
14,30,New Jersey,N.J. Admin. Code § 6A:32-14.2,Statement of Assurance,,Districts to provide a statement that they distributed forms,"The chief school administrator of a public school district, the administrator of a nonpublic school with high schools, or the head administrator of a private agency that provides educational services for high schools by means of public funds shall sign a statement of assurance and submit it to the executive county superintendent no later than June 30 each year. The statement of assurance shall affirm the distribution of voter registration forms, a summary of voter registration eligibility requirements, and materials describing the role of a citizen and the importance of voting.",,,,,,,,
,31,New Mexico,No school-specific statute identified in current review,,,,,,,,,,,,
15,32,New York,N.Y. Elec. Law § 5-507.2,School policy requirement,,Schools must adopt policies promoting student voter registration and preregistration.,"Local boards of education, boards of cooperative educational services, charter schools and non public schools are required to adopt policies to promote student voter registration and pre-registration. These policies may include collaboration with county boards of elections to conduct voter registration and pre-registration in high schools and shall include, but not be limited to, procedures for: (i) providing access to voter registration and pre-registration applications during the school year and assistance with filing such applications; and (ii) informing students of the state requirements for voter registration and pre-registration. Completion and submission of voter registration or pre-registration forms shall not be a course requirement or graded assignment for students.",,,,,New York,Elec. Law § 5-507,School policy requirement,Schools must adopt policies promoting student voter registration and preregistration.
16,33,North Carolina,N.C. Gen. Stat. § 163-82.23,Forms available,"Form Availability:
Every public high school shall make available to its students and others who are eligible to register to vote the application forms, applicaiton forms, and shall keep a sufficient supply of the forms so that they are always available.",High schools must maintain voter-registration forms for students.,"Every public high school shall make available to its students and others who are eligible to register to vote the application forms described in G.S. 163‑82.3, and shall keep a sufficient supply of the forms so that they are always available. A local board of education may, but is not required to, designate high school employees to assist in completing the forms. Only employees who volunteer for this duty may be designated by boards of education.",,,,,North Carolina,N.C. Gen. Stat. § 163-82.23,Forms available in schools,High schools must maintain voter-registration forms for students.
,34,North Dakota,No school-specific statute identified in current review,,,,,,,,,,,,
17,35,Ohio,Ohio Rev. Code § 3503.19,School intake site,,"High schools act similarly to voter registration agencies, may receive voter-registration applications and forward them to election officials.","(A) Persons qualified to register or to change their registration because of a change of address or change of name may register or change their registration in person at any state or local office of a designated agency, at the office of the registrar or any deputy registrar of motor vehicles, at a public high school or vocational school, at a public library, at the office of a county treasurer, or at a branch office established by the board of elections, or in person, through another person, or by mail at the office of the secretary of state or at the office of a board of elections. A registered elector may also change the elector's registration on election day at any polling place where the elector is eligible to vote, in the manner provided under section 3503.16 of the Revised Code.
Any state or local office of a designated agency, a public high school or vocational school, a public library, or the office of a county treasurer shall transmit any voter registration application or change of registration form that it receives to the board of elections of the county in which the state or local office is located, within five days after receiving the voter registration application or change of registration form. The office of the registrar or any deputy registrar of motor vehicles shall transmit any electronic voter registration application or change of registration that it receives to the secretary of state within twenty-four hours after receiving it, and shall transmit any paper voter registration application or change of registration form that it receives to the board of elections of the county in which the office of the registrar or deputy registrar is located within five days after receiving the voter registration application or change of registration form, as required under section 3503.11 of the Revised Code.
An otherwise valid voter registration application that is returned to the appropriate office other than by mail must be received by a state or local office of a designated agency, the office of the registrar or any deputy registrar of motor vehicles, a public high school or vocational school, a public library, the office of a county treasurer, the office of the secretary of state, or the office of a board of elections no later than the thirtieth day preceding a primary, special, or general election for the person to qualify as an elector eligible to vote at that election. An otherwise valid registration application received after that day entitles the elector to vote at all subsequent elections.
Any state or local office of a designated agency, the office of the registrar or any deputy registrar of motor vehicles, a public high school or vocational school, a public library, or the office of a county treasurer shall date stamp a registration application or change of name or change of address form it receives using a date stamp that does not disclose the identity of the state or local office that receives the registration.
(B)(1) Any person may apply in person, by telephone, by mail, or through another person for voter registration forms to the office of the secretary of state or the office of a board of elections. An individual who is eligible to vote as a uniformed services voter or an overseas voter in accordance with 42 U.S.C. 1973ff-6 also may apply for voter registration forms by electronic means to the office of the secretary of state or to the board of elections of the county in which the person's voting residence is located pursuant to section 3503.191 of the Revised Code.
(2)(a) An applicant may return the applicant's completed registration form in person or by mail to any state or local office of a designated agency, to a public high school or vocational school, to a public library, to the office of a county treasurer, to the office of the secretary of state, or to the office of a board of elections. An applicant who is eligible to vote as a uniformed services voter or an overseas voter in accordance with 42 U.S.C. 1973ff-6 also may return the applicant's completed voter registration form electronically to the office of the secretary of state or to the board of elections of the county in which the person's voting residence is located pursuant to section 3503.191 of the Revised Code.
(c) A person who receives compensation for registering a voter shall return any registration form entrusted to that person by an applicant to any board of elections or to the office of the secretary of state.
(C)(1) A board of elections that receives a voter registration application and is satisfied as to the truth of the statements made in the registration form shall register the applicant not later than twenty business days after receiving the application, unless that application is received during the thirty days immediately preceding the day of an election. The board shall promptly notify the applicant in writing of each of the following:
(a) The applicant's registration;
(b) The precinct in which the applicant is to vote;
(c) In bold type as follows:
""Voters must bring photo identification to the polls in order to verify identity. Voters who do not provide photo identification will still be able to vote by casting a provisional ballot.""
The notification shall be by nonforwardable mail. If the mail is returned to the board, it shall investigate and cause the notification to be delivered to the correct address.
(2) If, after investigating as required under division (C)(1) of this section, the board is unable to verify the voter's correct address, it shall proceed under section 3503.201 of the Revised Code.",,,,,Ohio,ORC § 3503.19,School intake site,High schools may receive voter-registration applications and forward them to election boards.
,36,Oklahoma,No school-specific statute identified in current review,,,,,,,,,,,,
21,37,Oregon,ORS § 329.049,School policy requirement,,School districts with high schools must adopt plans encouraging student voter registration.,"Each school district that includes a public high school shall adopt a plan to encourage students to register to vote and vote in elections, including but not limited to: (a) Posting a link to the electronic voter registration website maintained by the Secretary of State on the Internet home webpage, if any, of each public high school; and (b) Making materials developed by the Secretary of State relating to voting and voter registration readily available to students at each public high school.
(b) The State Board of Education shall by rule incorporate voter registration skills into the Essential Learning Skills. [2009 c.702 §1]",,,,,Oregon,ORS § 329.049,School policy requirement,School districts with high schools must adopt plans encouraging student voter registration.
,38,Pennsylvania,No general high-school statute identified; separate special-education transition-related guidance may exist,,,,,,,,,,,,
18,38,Pennsylvania,25 Pa. Stat. § 1322(d),School facility access for registration,"School space available:
School boards must provide space in public school buildings when county voter-registration commissions request it for registration activities.",School boards must provide space in public school buildings when county voter-registration commissions request it for registration activities.,The board of public education or the board of school directors shall furnish suitable space in any public school building under its jurisdiction or control and shall cause the space to be open and in proper order for use as a place of registration on each day when the space is desired by the commission for use as a place of registration in accordance with the provisions of this part. Use under this subsection may not interfere with school instruction.,,,,,,,,
19,39,Rhode Island,R.I. Gen. Laws § 17-9.1-4.1,Mandatory registration drives,"Voter registration drives:
Election boards must conduct voter-registration drives annually in high schools. ",Election boards must conduct voter-registration drives annually in high schools. Principals may be registration agents and may designate registration agents,"It shall be the duty of local boards to annually conduct a voter registration drive at each high school within the city or town in cooperation with the administration of the schools. Each principal of every public or private high school and director of each vocational school in this state may be a registration agent whose authority shall be limited to receiving and accepting registrations as electors from those qualified applicants who are enrolled as students within the school or are employed within the school. The principal or director may designate one or more persons in the school to serve as registration agents with the same authority as the principal of the school, provided each designation is filed with the local board for the city or town in which the school is located. Each person who is a registration agent pursuant to this section shall be sworn to the faithful performance of his or her duties and shall be subject to removal as a registration agent by the local board for cause shown. All registration made under this section shall be made in accordance with rules and regulations established by the local board of the city or town in which the school is located.",,,,,Rhode Island,R.I. Gen. Laws § 17-9.1-4.1,Mandatory school registration drives,Election boards must conduct voter-registration drives annually in high schools.
20,40,South Carolina,S.C. Code § 59-39-200,Forms available,"Form Availability:
Every high school shall make voter registration application forms available to its students.",High schools must make voter-registration applications available to students.,"Each high school in this State shall make available to its students voter registration application forms. Pursuant to Section 7-5-175, the forms must be provided to high school administrators upon their request to the appropriate county voter registration board or entity charged by law with registering an elector.",,,,,South Carolina,S.C. Code § 59-39-200,Forms available,High schools must make voter-registration forms available to students.
,41,South Dakota,No school-specific statute identified in current review,,,,,,,,,,,,
,42,Tennessee,Tenn. Code § 49-6-2016,Information requirement,,Schools provide seniors information about voting eligibility and registration.,“Each public high school shall provide information to students regarding voter registration.”,"Voter registration applications, if otherwise valid, that are returned by mail to the office of the secretary of state or to the office of a board of elections must be postmarked no later than the thirtieth day preceding a primary, special, or general election in order for the person to qualify as an elector eligible to vote at that election. If an otherwise valid voter registration application that is returned by mail does not bear a postmark or a legible postmark, the registration shall be valid for that election if received by the office of the secretary of state or the office of a board of elections no later than twenty-five days preceding any special, primary, or general election.",,,,Tennessee,Tenn. Code § 49-6-2016,Information requirement,High schools must provide seniors information about voter registration.
21,42,Tennessee,Tenn. Code § 2-2-202(3),Registration agency designation,,Public high schools are designated as voter-registration agencies under Tennessee law.,... public high schools ...shall serve as voter registration agencies.,,Registration agency designation,Public high schools are designated as voter-registration agencies under Tennessee law.,,,,,
22,42,Tennessee,Tenn. Code § 2-2-204,Distribution of forms and assistance with application for service,,Provide voter registration information in connecction with applications for service and with changes of address,"(a) A voter registration agency that is an office described in § 2-2-202(1) and (2) shall:
(1) Distribute with each application for such service or assistance, and with each recertification, renewal, or change of address form relating to such service or assistance, the voter registration-by-mail application form described in § 2-2-115, unless the applicant, in writing, declines to register to vote;
(2) To the greatest extent practicable, incorporate in that agency's application for services or assistance, recertification, renewal or change of address form, a means by which a person who completes the form may decline, in writing, to register to vote;
(3) Provide to each applicant who does not decline to register to vote the same degree of assistance with regard to the completion of the registration application form as is provided by the office with regard to the completion of its own forms; and (b) A completed voter registration accepted at a voter registration agency described in this section shall be transmitted to the appropriate county election commission office not later than ten (10) days after the date of acceptance; provided, that if the document is accepted within five (5) days before the last day for registration to vote in an election, the application shall be transmitted to the appropriate county election commission office not later than five (5) days after the date of acceptance.",,,,,,,,
